#GENE	SH26-1095-Vehicle	SH26-1125-TDM1	SH26-1127-TDM1	SH26-1182-Combo	SH26-1196-TDM1	SH26-1226-Combo	SH26-1239-Combo	SH26-1259-Resist	SH26-1261-TAK	SH26-1270-TAK	SH26-1274-TAK	SH26-1275-Resist	SH26-1291-Resist	SH26-1313-Vehicle
Gm20203	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20208	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2021	0	1	0	0	0	0	1	0	0	0	0	0	0	1
Gm20219	115	274	376	384	256	347	184	166	145	269	193	79	221	112
Gm2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20234	1	15	6	7	5	12	6	10	1	9	4	1	1	0
Gm20236	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20239	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20257	59	16	22	14	13	6	16	32	21	33	25	33	7	56
Gm2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2027	0	0	1	0	2	0	2	14	0	0	1	0	1	0
Gm20274	0	0	3	0	1	0	1	0	0	1	0	4	0	0
Gm20275	43	7	12	0	2	2	0	8	0	3	6	24	9	35
Gm20276	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20281	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm20287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20288	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20294	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2030	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20300	410	201	440	266	247	450	297	352	242	306	431	754	172	397
Gm20302	12	3	5	0	5	1	1	4	0	2	3	1	4	5
Gm20304	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20305	4	0	2	0	0	2	1	1	0	0	0	0	0	1
Gm20319	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20324	23	46	45	32	30	37	28	26	23	34	23	28	19	0
Gm2033	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20336	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Gm20337	16	1	13	5	16	7	23	9	14	18	5	7	3	14
Gm20342	53	14	21	10	12	14	23	43	13	21	19	39	4	0
Gm20345	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2035	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20356	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20368	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20369	0	0	0	1	0	0	0	0	0	0	1	0	2	1
Gm20371	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20379	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Gm20383	5	12	2	1	5	1	0	3	2	1	6	0	1	0
Gm20386	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20387	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20389	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20390	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Gm20391	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20392	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20394	0	0	3	0	0	0	0	0	0	1	0	1	0	0
Gm20395	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm20396	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20397	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20399	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2040	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm20400	4	3	7	53	23	5	5	7	2	13	5	0	1	0
Gm20401	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20402	0	0	1	2	0	0	0	1	1	2	3	0	0	0
Gm20403	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20404	0	0	2	1	1	3	4	0	0	3	7	3	1	18
Gm20405	0	0	0	0	0	0	2	0	0	0	0	2	0	0
Gm20406	7	0	6	1	1	2	2	0	2	3	6	0	2	32
Gm20407	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20409	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20412	0	3	4	2	2	2	3	12	1	2	0	11	0	0
Gm20414	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20415	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20416	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Gm2042	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20420	0	0	5	0	1	0	0	0	0	0	0	0	0	0
Gm20421	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20422	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20426	0	0	41	0	4	2	0	0	4	0	2	0	0	0
Gm20427	9	0	0	0	0	0	0	0	2	0	2	0	0	0
Gm20428	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20429	0	0	0	1	0	0	0	0	0	3	0	1	0	0
Gm20430	3	1	3	1	0	0	0	1	0	3	0	0	2	1
Gm20431	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20432	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20438	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2044	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20441	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Gm20442	101	30	28	11	28	13	45	38	19	11	26	19	25	17
Gm20443	8	5	0	0	0	0	0	1	1	0	0	0	1	0
Gm20444	7	0	4	1	2	2	7	6	2	1	1	0	1	0
Gm20445	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20447	0	3	3	2	0	0	2	1	0	0	1	0	0	0
Gm20449	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm20450	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20451	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20452	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20453	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20454	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20455	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20456	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20457	18	13	27	31	36	49	45	74	45	45	57	99	44	0
Gm20458	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20460	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20461	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20462	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20463	6	0	2	5	0	3	0	1	3	1	1	2	0	15
Gm20465	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20467	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20468	2	0	2	0	1	0	2	0	0	1	3	0	1	0
Gm20470	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Gm20471	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20472	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20473	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20474	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20475	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20476	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20477	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20478	5	5	3	6	1	9	6	17	0	28	11	1	0	0
Gm20479	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm2048	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20480	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20481	0	0	1	0	0	3	3	0	0	0	1	0	0	0
Gm20482	6	0	0	1	0	0	2	0	0	1	0	0	0	0
Gm20483	3	1	10	1	0	0	0	1	1	3	1	0	0	11
Gm20484	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20486	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20488	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20489	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20491	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20492	29	0	21	5	6	17	10	15	9	18	11	7	8	71
Gm20493	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20495	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20496	0	6	1	0	1	4	0	0	0	1	1	0	0	15
Gm20498	30	13	14	4	11	28	15	11	17	18	18	21	9	8
Gm20500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20501	0	0	0	0	0	2	0	0	0	0	0	1	0	0
Gm20503	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20507	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20508	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gm20509	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20512	5	13	13	3	2	3	10	2	11	9	12	8	3	0
Gm20513	7	2	0	4	1	3	2	10	0	1	1	0	1	0
Gm20515	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20517	22	0	4	5	2	3	14	0	1	1	5	6	5	0
Gm20518	6	3	0	1	4	4	1	1	1	0	6	1	10	0
Gm20519	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gm20521	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Gm20522	35	33	41	35	32	45	44	25	37	66	38	10	35	31
Gm20523	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20525	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20526	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20528	3	5	30	8	7	17	8	9	16	5	11	6	9	0
Gm20529	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2053	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20530	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm20531	0	10	3	4	6	0	0	6	4	3	4	1	0	0
Gm20532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20534	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20535	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm20536	0	2	9	3	5	2	11	1	0	2	1	8	7	0
Gm20537	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20538	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm20539	6	1	1	0	0	0	1	0	2	2	1	6	0	0
Gm20540	7	0	2	0	0	1	0	2	1	0	3	0	2	0
Gm20541	0	0	2	2	2	0	0	0	0	0	0	0	0	0
Gm20542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20543	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20544	18	23	28	26	14	20	28	23	33	16	39	44	38	0
Gm20545	2	0	0	0	3	0	1	1	3	0	1	0	3	1
Gm20546	0	0	0	0	2	0	0	0	0	0	0	0	2	0
Gm20547	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20548	0	3	6	1	5	0	1	6	0	3	2	0	0	0
Gm20549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20553	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20554	36	23	50	61	52	32	33	42	39	75	57	58	47	22
Gm20555	0	1	0	0	0	0	0	0	2	0	0	0	0	0
Gm20556	0	0	0	0	0	4	0	4	1	0	0	0	0	0
Gm20557	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20559	646	100	197	39	124	116	83	87	63	97	82	134	12	465
Gm2056	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20560	2	4	8	9	6	0	2	4	0	2	13	9	1	29
Gm20561	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20564	2	0	0	0	1	0	0	0	0	1	0	0	1	0
Gm20568	25	1	7	6	7	9	12	3	2	9	5	2	8	28
Gm20570	17	5	9	8	7	3	11	4	3	6	2	9	3	14
Gm20574	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2058	1	18	22	14	22	11	21	18	12	18	22	30	13	0
Gm20586	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20587	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20589	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Gm2059	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm20593	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20594	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm20596	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Gm20597	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Gm20604	32	37	38	35	38	32	30	49	37	48	44	65	17	25
Gm20605	45	16	6	8	2	25	13	17	24	9	16	1	6	0
Gm20609	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2061	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20610	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20611	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20612	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20614	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20615	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20616	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20617	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20618	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm20619	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20620	2	1	0	2	4	0	0	0	3	1	1	0	0	2
Gm20621	0	10	2	1	0	0	3	3	1	4	4	2	4	0
Gm20625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20627	4	7	3	1	4	0	6	4	2	2	4	3	0	0
Gm20628	0	0	0	2	0	0	0	0	0	3	0	0	0	0
Gm20629	0	0	0	0	0	0	5	0	0	0	3	3	0	0
Gm20630	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20631	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20632	35	14	92	43	16	22	38	52	25	32	39	28	18	37
Gm20633	5	5	45	14	11	14	28	21	4	22	26	11	19	0
Gm20634	9	4	4	13	9	3	1	2	3	6	7	3	5	0
Gm20635	8	0	2	1	2	4	1	2	2	5	0	0	2	14
Gm20636	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20637	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20638	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20641	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20642	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20643	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20644	9	0	3	0	0	3	0	2	2	2	0	0	0	0
Gm20646	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20647	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20649	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2065	0	5	0	1	1	0	0	3	0	4	0	1	0	0
Gm20650	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Gm20651	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20652	0	3	1	0	0	0	0	0	0	3	0	3	0	16
Gm20655	0	0	2	1	3	7	2	13	1	3	0	0	2	0
Gm20656	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20657	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm20658	3	0	4	0	0	0	0	0	2	0	0	0	0	0
Gm20659	0	0	0	0	1	1	2	1	1	0	0	1	4	11
Gm2066	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20660	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm20661	9	0	0	0	1	4	0	5	0	2	2	1	0	0
Gm20662	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20663	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20667	4	5	1	1	1	0	0	0	1	0	1	2	0	0
Gm20670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20671	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20672	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20673	0	0	0	0	1	1	1	0	0	0	0	0	1	1
Gm20674	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20675	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20679	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20681	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20682	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20683	0	0	0	0	0	0	0	1	0	0	1	0	1	6
Gm20684	104	87	49	42	78	33	53	25	49	14	21	24	60	20
Gm20685	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20686	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20687	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20688	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Gm20689	1	0	1	1	1	1	0	1	0	1	2	6	0	0
Gm20690	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20691	0	0	1	0	1	1	0	0	0	0	1	0	4	0
Gm20692	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Gm20693	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20694	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm20695	0	0	1	0	0	3	2	0	1	2	5	0	0	0
Gm20696	0	0	2	0	0	0	0	3	0	0	0	0	0	0
Gm20700	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20701	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20702	2	0	0	1	0	1	0	0	0	0	0	0	0	0
Gm20703	10	6	8	7	9	7	13	9	8	5	3	1	2	7
Gm20705	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20706	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20707	52	14	26	11	24	16	14	19	5	33	26	15	4	35
Gm20708	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2071	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20711	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20712	4	15	21	14	7	29	12	28	26	10	28	48	17	0
Gm20713	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20714	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20715	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20717	3	0	0	0	1	1	0	0	0	0	0	0	0	0
Gm20718	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20721	100	136	360	171	130	114	277	187	112	285	130	181	142	12
Gm20730	0	33	0	1	1	3	0	0	0	0	0	0	0	0
Gm20731	0	1	2	0	3	3	0	3	0	1	0	0	0	0
Gm20732	0	0	1	0	0	4	0	0	0	4	1	0	0	3
Gm20734	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20735	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Gm20736	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20737	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20738	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20741	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20742	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20743	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20744	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20745	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20747	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20749	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2075	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20750	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20751	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Gm20752	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20753	0	6	3	0	0	0	2	0	0	0	2	0	0	0
Gm20754	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20755	0	2	1	1	2	1	0	14	0	1	0	19	1	0
Gm20756	0	0	9	0	0	0	0	0	0	25	0	1	0	0
Gm20757	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20758	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Gm2076	1	1	5	2	7	5	3	3	1	4	5	3	3	0
Gm20760	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20762	8	3	6	3	11	8	5	3	4	5	8	1	1	29
Gm20763	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20765	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20767	0	2	0	0	0	0	0	3	0	0	0	0	0	0
Gm20768	1	1	1	3	0	2	0	0	0	0	3	0	0	0
Gm20769	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2077	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Gm20770	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20772	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20773	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20775	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Gm20776	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20777	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20778	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Gm20781	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20784	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20786	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm20788	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20789	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20791	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20792	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20793	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20794	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20795	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20796	0	0	3	2	0	0	0	0	0	0	1	0	4	0
Gm20797	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20798	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20799	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2080	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20801	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20802	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20803	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20804	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20805	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20806	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20807	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20808	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20809	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20810	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20811	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20812	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20813	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20814	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20815	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20816	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20817	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20818	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20819	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20820	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20821	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20822	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20823	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20824	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20825	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20826	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20827	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20828	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20830	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20831	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20832	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20833	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20834	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20835	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20836	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20837	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20838	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20840	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20841	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20842	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20843	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20844	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20846	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20847	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20848	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20849	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20850	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20851	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20853	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20854	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20855	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20856	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20857	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20858	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20859	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20860	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20861	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20862	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20863	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20864	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20865	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20866	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20867	0	0	0	0	0	0	0	0	0	0	0	0	0	0
